Country Name,Income classification 2021,Population 2021,Region,Country Code,,
China,Upper middle income,1412360000,East Asia & Pacific,CHN,,
India,Lower middle income,1407563842,South Asia,IND,,
United States,High income,331893745,North America,USA,,
Indonesia,Lower middle income,273753191,East Asia & Pacific,IDN,,
Pakistan,Lower middle income,231402117,South Asia,PAK,,
Brazil,Upper middle income,214326223,Latin America & Caribbean,BRA,,
Nigeria,Lower middle income,213401323,Sub-Saharan Africa,NGA,,
Bangladesh,Lower middle income,169356251,South Asia,BGD,,
Russian Federation,Upper middle income,143449286,Europe & Central Asia,RUS,,
Mexico,Upper middle income,126705138,Latin America & Caribbean,MEX,,
Japan,High income,125681593,East Asia & Pacific,JPN,,
Ethiopia,Low income,120283026,Sub-Saharan Africa,ETH,,
Philippines,Lower middle income,113880328,East Asia & Pacific,PHL,,
"Egypt, Arab Rep.",Lower middle income,109262178,Middle East & North Africa,EGY,,
Vietnam,Lower middle income,97468029,East Asia & Pacific,VNM,,
"Congo, Dem. Rep.",Low income,95894118,Sub-Saharan Africa,COD,,
"Iran, Islamic Rep.",Lower middle income,87923432,Middle East & North Africa,IRN,,
Turkiye,Upper middle income,84775404,Europe & Central Asia,TUR,,
Germany,High income,83196078,Europe & Central Asia,DEU,,
Thailand,Upper middle income,71601103,East Asia & Pacific,THA,,
France,High income,67749632,Europe & Central Asia,FRA,,
United Kingdom,High income,67326569,Europe & Central Asia,GBR,,
Tanzania,Lower middle income,63588334,Sub-Saharan Africa,TZA,,
South Africa,Upper middle income,59392255,Sub-Saharan Africa,ZAF,,
Italy,High income,59109668,Europe & Central Asia,ITA,,
Myanmar,Lower middle income,53798084,East Asia & Pacific,MMR,,
Kenya,Lower middle income,53005614,Sub-Saharan Africa,KEN,,
"Korea, Rep.",High income,51744876,East Asia & Pacific,KOR,,
Colombia,Upper middle income,51516562,Latin America & Caribbean,COL,,
Spain,High income,47415750,Europe & Central Asia,ESP,,
Uganda,Low income,45853778,Sub-Saharan Africa,UGA,,
Argentina,Upper middle income,45808747,Latin America & Caribbean,ARG,,
Sudan,Low income,45657202,Sub-Saharan Africa,SDN,,
Algeria,Lower middle income,44177969,Middle East & North Africa,DZA,,
Ukraine,Lower middle income,43792855,Europe & Central Asia,UKR,,
Iraq,Upper middle income,43533592,Middle East & North Africa,IRQ,,
Afghanistan,Low income,40099462,South Asia,AFG,,
Canada,High income,38246108,North America,CAN,,
Poland,High income,37747124,Europe & Central Asia,POL,,
Morocco,Lower middle income,37076584,Middle East & North Africa,MAR,,
Saudi Arabia,High income,35950396,Middle East & North Africa,SAU,,
Uzbekistan,Lower middle income,34915100,Europe & Central Asia,UZB,,
Angola,Lower middle income,34503774,Sub-Saharan Africa,AGO,,
Peru,Upper middle income,33715471,Latin America & Caribbean,PER,,
Malaysia,Upper middle income,33573874,East Asia & Pacific,MYS,,
"Yemen, Rep.",Low income,32981641,Middle East & North Africa,YEM,,
Ghana,Lower middle income,32833031,Sub-Saharan Africa,GHA,,
Mozambique,Low income,32077072,Sub-Saharan Africa,MOZ,,
Nepal,Lower middle income,30034989,South Asia,NPL,,
Madagascar,Low income,28915653,Sub-Saharan Africa,MDG,,
"Venezuela, RB",Lower middle income,28199867,Latin America & Caribbean,VEN,,
Cote d'Ivoire,Lower middle income,27478249,Sub-Saharan Africa,CIV,,
Cameroon,Lower middle income,27198628,Sub-Saharan Africa,CMR,,
"Korea, Dem. People's Rep.",Low income,25971909,East Asia & Pacific,PRK,,
Australia,High income,25688079,East Asia & Pacific,AUS,,
Niger,Low income,25252722,Sub-Saharan Africa,NER,,
Sri Lanka,Lower middle income,22156000,South Asia,LKA,,
Burkina Faso,Low income,22100683,Sub-Saharan Africa,BFA,,
Mali,Low income,21904983,Sub-Saharan Africa,MLI,,
Syrian Arab Republic,Low income,21324367,Middle East & North Africa,SYR,,
Malawi,Low income,19889742,Sub-Saharan Africa,MWI,,
Chile,High income,19493184,Latin America & Caribbean,CHL,,
Zambia,Low income,19473125,Sub-Saharan Africa,ZMB,,
Romania,High income,19119880,Europe & Central Asia,ROU,,
Kazakhstan,Upper middle income,19000988,Europe & Central Asia,KAZ,,
Ecuador,Upper middle income,17797737,Latin America & Caribbean,ECU,,
Netherlands,High income,17533044,Europe & Central Asia,NLD,,
Chad,Low income,17179740,Sub-Saharan Africa,TCD,,
Guatemala,Upper middle income,17109746,Latin America & Caribbean,GTM,,
Somalia,Low income,17065581,Sub-Saharan Africa,SOM,,
Senegal,Lower middle income,16876720,Sub-Saharan Africa,SEN,,
Cambodia,Lower middle income,16589023,East Asia & Pacific,KHM,,
Zimbabwe,Lower middle income,15993524,Sub-Saharan Africa,ZWE,,
Guinea,Low income,13531906,Sub-Saharan Africa,GIN,,
Rwanda,Low income,13461888,Sub-Saharan Africa,RWA,,
Benin,Lower middle income,12996895,Sub-Saharan Africa,BEN,,
Burundi,Low income,12551213,Sub-Saharan Africa,BDI,,
Tunisia,Lower middle income,12262946,Middle East & North Africa,TUN,,
Bolivia,Lower middle income,12079472,Latin America & Caribbean,BOL,,
Belgium,High income,11592952,Europe & Central Asia,BEL,,
Haiti,Lower middle income,11447569,Latin America & Caribbean,HTI,,
Cuba,Upper middle income,11256372,Latin America & Caribbean,CUB,,
Jordan,Upper middle income,11148278,Middle East & North Africa,JOR,,
Dominican Republic,Upper middle income,11117873,Latin America & Caribbean,DOM,,
South Sudan,Low income,10748272,Sub-Saharan Africa,SSD,,
Greece,High income,10641221,Europe & Central Asia,GRC,,
Czechia,High income,10505772,Europe & Central Asia,CZE,,
Sweden,High income,10415811,Europe & Central Asia,SWE,,
Portugal,High income,10325147,Europe & Central Asia,PRT,,
Honduras,Lower middle income,10278345,Latin America & Caribbean,HND,,
Azerbaijan,Upper middle income,10137750,Europe & Central Asia,AZE,,
Papua New Guinea,Lower middle income,9949437,East Asia & Pacific,PNG,,
Tajikistan,Lower middle income,9750064,Europe & Central Asia,TJK,,
Hungary,High income,9709891,Europe & Central Asia,HUN,,
United Arab Emirates,High income,9365145,Middle East & North Africa,ARE,,
Israel,High income,9364000,Middle East & North Africa,ISR,,
Belarus,Upper middle income,9340314,Europe & Central Asia,BLR,,
Austria,High income,8955797,Europe & Central Asia,AUT,,
Switzerland,High income,8703405,Europe & Central Asia,CHE,,
Togo,Low income,8644829,Sub-Saharan Africa,TGO,,
Sierra Leone,Low income,8420641,Sub-Saharan Africa,SLE,,
Lao PDR,Lower middle income,7425057,East Asia & Pacific,LAO,,
"Hong Kong SAR, China",High income,7413100,East Asia & Pacific,HKG,,
Bulgaria,Upper middle income,6877743,Europe & Central Asia,BGR,,
Nicaragua,Lower middle income,6850540,Latin America & Caribbean,NIC,,
Serbia,Upper middle income,6834326,Europe & Central Asia,SRB,,
Libya,Upper middle income,6735277,Middle East & North Africa,LBY,,
Paraguay,Upper middle income,6703799,Latin America & Caribbean,PRY,,
Kyrgyz Republic,Lower middle income,6691800,Europe & Central Asia,KGZ,,
Turkmenistan,Upper middle income,6341855,Europe & Central Asia,TKM,,
El Salvador,Lower middle income,6314167,Latin America & Caribbean,SLV,,
Denmark,High income,5856733,Europe & Central Asia,DNK,,
"Congo, Rep.",Lower middle income,5835806,Sub-Saharan Africa,COG,,
Lebanon,Lower middle income,5592631,Middle East & North Africa,LBN,,
Finland,High income,5541017,Europe & Central Asia,FIN,,
Central African Republic,Low income,5457154,Sub-Saharan Africa,CAF,,
Singapore,High income,5453566,East Asia & Pacific,SGP,,
Slovak Republic,High income,5447247,Europe & Central Asia,SVK,,
Norway,High income,5408320,Europe & Central Asia,NOR,,
Liberia,Low income,5193416,Sub-Saharan Africa,LBR,,
Costa Rica,Upper middle income,5153957,Latin America & Caribbean,CRI,,
New Zealand,High income,5122600,East Asia & Pacific,NZL,,
Ireland,High income,5033165,Europe & Central Asia,IRL,,
West Bank and Gaza,Lower middle income,4922749,Middle East & North Africa,PSE,,
Mauritania,Lower middle income,4614974,Sub-Saharan Africa,MRT,,
Oman,High income,4520471,Middle East & North Africa,OMN,,
Panama,High income,4351267,Latin America & Caribbean,PAN,,
Kuwait,High income,4250114,Middle East & North Africa,KWT,,
Croatia,High income,3899000,Europe & Central Asia,HRV,,
Georgia,Upper middle income,3708610,Europe & Central Asia,GEO,,
Eritrea,Low income,3620312,Sub-Saharan Africa,ERI,,
Uruguay,High income,3426260,Latin America & Caribbean,URY,,
Mongolia,Lower middle income,3347782,East Asia & Pacific,MNG,,
Bosnia and Herzegovina,Upper middle income,3270943,Europe & Central Asia,BIH,,
Puerto Rico,High income,3263584,Latin America & Caribbean,PRI,,
Jamaica,Upper middle income,2827695,Latin America & Caribbean,JAM,,
Albania,Upper middle income,2811666,Europe & Central Asia,ALB,,
Lithuania,High income,2800839,Europe & Central Asia,LTU,,
Armenia,Upper middle income,2790974,Europe & Central Asia,ARM,,
Qatar,High income,2688235,Middle East & North Africa,QAT,,
"Gambia, The",Low income,2639916,Sub-Saharan Africa,GMB,,
Moldova,Upper middle income,2615199,Europe & Central Asia,MDA,,
Botswana,Upper middle income,2588423,Sub-Saharan Africa,BWA,,
Namibia,Upper middle income,2530151,Sub-Saharan Africa,NAM,,
Gabon,Upper middle income,2341179,Sub-Saharan Africa,GAB,,
Lesotho,Lower middle income,2281454,Sub-Saharan Africa,LSO,,
Slovenia,High income,2108079,Europe & Central Asia,SVN,,
North Macedonia,Upper middle income,2065092,Europe & Central Asia,MKD,,
Guinea-Bissau,Low income,2060721,Sub-Saharan Africa,GNB,,
Latvia,High income,1884490,Europe & Central Asia,LVA,,
Kosovo,Upper middle income,1786038,Europe & Central Asia,XKX,,
Equatorial Guinea,Upper middle income,1634466,Sub-Saharan Africa,GNQ,,
Trinidad and Tobago,High income,1525663,Latin America & Caribbean,TTO,,
Bahrain,High income,1463265,Middle East & North Africa,BHR,,
Estonia,High income,1330932,Europe & Central Asia,EST,,
Timor-Leste,Lower middle income,1320942,East Asia & Pacific,TLS,,
Mauritius,Upper middle income,1266060,Sub-Saharan Africa,MUS,,
Cyprus,High income,1244188,Europe & Central Asia,CYP,,
Eswatini,Lower middle income,1192271,Sub-Saharan Africa,SWZ,,
Djibouti,Lower middle income,1105557,Middle East & North Africa,DJI,,
Fiji,Upper middle income,924610,East Asia & Pacific,FJI,,
Comoros,Lower middle income,821625,Sub-Saharan Africa,COM,,
Guyana,Upper middle income,804567,Latin America & Caribbean,GUY,,
Bhutan,Lower middle income,777486,South Asia,BTN,,
Solomon Islands,Lower middle income,707851,East Asia & Pacific,SLB,,
"Macao SAR, China",High income,686607,East Asia & Pacific,MAC,,
Luxembourg,High income,640064,Europe & Central Asia,LUX,,
Montenegro,Upper middle income,619211,Europe & Central Asia,MNE,,
Suriname,Upper middle income,612985,Latin America & Caribbean,SUR,,
Cabo Verde,Lower middle income,587925,Sub-Saharan Africa,CPV,,
Maldives,Upper middle income,521457,South Asia,MDV,,
Malta,High income,518536,Middle East & North Africa,MLT,,
Brunei Darussalam,High income,445373,East Asia & Pacific,BRN,,
"Bahamas, The",High income,407906,Latin America & Caribbean,BHS,,
Belize,Upper middle income,400031,Latin America & Caribbean,BLZ,,
Iceland,High income,372520,Europe & Central Asia,ISL,,
Vanuatu,Lower middle income,319137,East Asia & Pacific,VUT,,
French Polynesia,High income,304032,East Asia & Pacific,PYF,,
Barbados,High income,281200,Latin America & Caribbean,BRB,,
New Caledonia,High income,271030,East Asia & Pacific,NCL,,
Sao Tome and Principe,Lower middle income,223107,Sub-Saharan Africa,STP,,
Samoa,Lower middle income,218764,East Asia & Pacific,WSM,,
St. Lucia,Upper middle income,179651,Latin America & Caribbean,LCA,,
Channel Islands,High income,172683,Europe & Central Asia,CHI,,
Guam,High income,170534,East Asia & Pacific,GUM,,
Curacao,High income,152369,Latin America & Caribbean,CUW,,
Kiribati,Lower middle income,128874,East Asia & Pacific,KIR,,
Grenada,Upper middle income,124610,Latin America & Caribbean,GRD,,
"Micronesia, Fed. Sts.",Lower middle income,113131,East Asia & Pacific,FSM,,
Aruba,High income,106537,Latin America & Caribbean,ABW,,
Tonga,Upper middle income,106017,East Asia & Pacific,TON,,
Virgin Islands (U.S.),High income,105870,Latin America & Caribbean,VIR,,
St. Vincent and the Grenadines,Upper middle income,104332,Latin America & Caribbean,VCT,,
Seychelles,High income,99258,Sub-Saharan Africa,SYC,,
Antigua and Barbuda,High income,93219,Latin America & Caribbean,ATG,,
Isle of Man,High income,84263,Europe & Central Asia,IMN,,
Andorra,High income,79034,Europe & Central Asia,AND,,
Dominica,Upper middle income,72412,Latin America & Caribbean,DMA,,
Cayman Islands,High income,68136,Latin America & Caribbean,CYM,,
Bermuda,High income,63867,North America,BMU,,
Greenland,High income,56653,Europe & Central Asia,GRL,,
Faroe Islands,High income,52889,Europe & Central Asia,FRO,,
Northern Mariana Islands,High income,49481,East Asia & Pacific,MNP,,
St. Kitts and Nevis,High income,47606,Latin America & Caribbean,KNA,,
Turks and Caicos Islands,High income,45114,Latin America & Caribbean,TCA,,
American Samoa,Upper middle income,45035,East Asia & Pacific,ASM,,
Sint Maarten (Dutch part),High income,42846,Latin America & Caribbean,SXM,,
Marshall Islands,Upper middle income,42050,East Asia & Pacific,MHL,,
Liechtenstein,High income,39039,Europe & Central Asia,LIE,,
Monaco,High income,36686,Europe & Central Asia,MCO,,
San Marino,High income,33745,Europe & Central Asia,SMR,,
Gibraltar,High income,32669,Europe & Central Asia,GIB,,
St. Martin (French part),High income,31948,Latin America & Caribbean,MAF,,
British Virgin Islands,High income,31122,Latin America & Caribbean,VGB,,
Palau,Upper middle income,18024,East Asia & Pacific,PLW,,
Nauru,High income,12511,East Asia & Pacific,NRU,,
Tuvalu,Upper middle income,11204,East Asia & Pacific,TUV,,